Step,Input,Output,r0,r1,r2,r3,r4,r5
1,"in1(6,3)",out0,0,0,6,3,0,0
2,"in1(6,3)",out0,0,0,6,3,0,0
3,"in0(10,3)",out0,10,3,6,3,0,0
4,"in1(6,3)",out0,10,3,6,3,0,0
5,"in1(6,3)",out0,10,3,6,3,0,0
6,"in0(10,3)","out1(0,6)",10,3,6,3,0,6
7,"in1(6,3)","out1(8,9)",10,3,6,3,8,9
8,"in0(10,3)","out1(0,0)",10,3,6,3,0,0
9,"in1(6,3)","out1(8,3)",10,3,6,3,8,3
10,"in1(6,3)",out0,10,3,6,3,8,3
11,"in0(10,3)","out1(0,6)",10,3,6,3,0,6
12,"in0(10,3)",out0,10,3,6,3,0,6
13,"in0(10,3)",out0,10,3,6,3,0,6
14,"in1(6,3)",out0,10,3,6,3,0,6
15,"in1(6,3)",out0,10,3,6,3,0,6
16,"in1(6,3)",out0,10,3,6,3,0,6
17,"in1(6,3)",out0,10,3,6,3,0,6
18,"in0(10,3)","out1(0,6)",10,3,6,3,0,6
19,"in1(6,3)","out1(8,9)",10,3,6,3,8,9
20,"in0(10,3)","out1(0,0)",10,3,6,3,0,0
21,"in0(10,3)",out0,10,3,6,3,0,0
22,"in0(10,3)",out0,10,3,6,3,0,0
23,"in0(10,3)","out1(0,0)",10,3,6,3,0,0
24,"in0(10,3)",out0,10,3,6,3,0,0
25,"in0(10,3)",out0,10,3,6,3,0,0
26,"in1(6,3)",out0,10,3,6,3,0,0
27,"in0(10,3)","out1(0,6)",10,3,6,3,0,6
28,"in0(10,3)",out0,10,3,6,3,0,6
29,"in1(6,3)",out0,10,3,6,3,0,6
30,"in0(10,3)",out0,10,3,6,3,0,6
31,"in1(6,3)",out0,10,3,6,3,0,6
32,"in1(6,3)",out0,10,3,6,3,0,6
33,"in0(10,3)","out1(0,6)",10,3,6,3,0,6
34,"in0(10,3)",out0,10,3,6,3,0,6
35,"in1(6,3)",out0,10,3,6,3,0,6
36,"in0(10,3)",out0,10,3,6,3,0,6
37,"in0(10,3)","out1(0,0)",10,3,6,3,0,0
38,"in0(10,3)",out0,10,3,6,3,0,0
39,"in1(6,3)",out0,10,3,6,3,0,0
40,"in1(6,3)",out0,10,3,6,3,0,0
41,"in1(6,3)",out0,10,3,6,3,0,0
42,"in1(6,3)",out0,10,3,6,3,0,0
43,"in0(10,3)",out0,10,3,6,3,0,0
44,"in1(6,3)",out0,10,3,6,3,0,0
45,"in1(6,3)",out0,10,3,6,3,0,0
46,"in1(6,3)",out0,10,3,6,3,0,0
47,"in1(6,3)",out0,10,3,6,3,0,0
48,"in1(6,3)",out0,10,3,6,3,0,0
49,"in1(6,3)",out0,10,3,6,3,0,0
50,"in0(10,3)","out1(0,6)",10,3,6,3,0,6
