Step,Input,Output,r_a,r_b,r_A
1,a(0),A(0),0,0,0
2,b(0),B,0,0,0
3,b(0),B,0,0,0
4,a(0),B,0,0,0
5,a(0),B,0,0,0
6,b(0),B,0,0,0
7,b(0),B,0,0,0
8,a(0),B,0,0,0
9,a(0),B,0,0,0
10,b(0),B,0,0,0
11,a(0),A(0),0,0,0
12,b(0),B,0,0,0
13,a(0),A(0),0,0,0
14,a(0),B,0,0,0
15,b(0),A(0),0,0,0
16,b(0),B,0,0,0
17,a(0),B,0,0,0
18,a(0),B,0,0,0
19,b(0),B,0,0,0
20,b(0),B,0,0,0
21,b(0),A(0),0,0,0
22,a(0),B,0,0,0
23,a(0),B,0,0,0
24,b(0),B,0,0,0
25,a(0),A(0),0,0,0
26,a(0),B,0,0,0
27,b(0),A(0),0,0,0
28,a(0),A(0),0,0,0
29,a(0),B,0,0,0
30,b(0),A(0),0,0,0
31,a(0),A(0),0,0,0
32,b(0),B,0,0,0
33,b(0),B,0,0,0
34,a(0),B,0,0,0
35,a(0),B,0,0,0
36,b(0),B,0,0,0
37,b(0),B,0,0,0
38,a(0),B,0,0,0
39,b(0),A(0),0,0,0
40,a(0),A(0),0,0,0
41,a(0),B,0,0,0
42,b(0),A(0),0,0,0
43,b(0),B,0,0,0
44,b(0),A(0),0,0,0
45,b(0),A(0),0,0,0
46,a(0),B,0,0,0
47,a(0),B,0,0,0
48,b(0),B,0,0,0
49,a(0),A(0),0,0,0
50,a(0),B,0,0,0
51,b(0),A(0),0,0,0
52,b(0),B,0,0,0
53,a(0),B,0,0,0
54,a(1),B,1,0,0
55,a(1),B,1,0,0
56,b(1),A(0),1,1,0
57,a(1),A(2),1,1,2
58,b(1),B,1,1,2
59,b(1),B,1,1,2
60,a(1),B,1,1,2
61,b(0),A(0),1,0,0
62,b(0),B,1,0,0
63,b(1),A(0),1,1,0
64,b(0),B,1,0,0
65,b(0),B,1,0,0
66,a(0),B,0,0,0
67,a(0),B,0,0,0
68,b(0),B,0,0,0
69,a(0),A(0),0,0,0
70,a(1),B,1,0,0
71,b(1),A(0),1,1,0
72,b(1),B,1,1,0
73,b(0),B,1,0,0
74,a(0),A(0),0,0,0
75,b(0),B,0,0,0
76,a(0),A(0),0,0,0
77,a(1),B,1,0,0
78,b(0),A(0),1,0,0
79,b(1),B,1,1,0
80,b(0),B,1,0,0
81,b(0),B,1,0,0
82,b(0),B,1,0,0
83,a(0),A(0),0,0,0
84,a(0),B,0,0,0
85,b(0),A(0),0,0,0
86,a(0),A(0),0,0,0
87,a(1),B,1,0,0
88,b(0),A(0),1,0,0
89,b(1),B,1,1,0
90,b(0),B,1,0,0
91,b(0),B,1,0,0
92,a(0),B,0,0,0
93,b(0),A(0),0,0,0
94,a(0),A(0),0,0,0
95,a(1),B,1,0,0
96,b(0),A(0),1,0,0
97,b(1),B,1,1,0
98,b(0),B,1,0,0
99,b(0),B,1,0,0
100,b(0),B,1,0,0
101,b(0),B,1,0,0
102,a(0),B,0,0,0
103,a(1),B,1,0,0
104,b(0),B,1,0,0
105,b(1),B,1,1,0
106,b(0),B,1,0,0
107,a(1),A(1),1,0,1
108,a(1),B,1,0,1
109,b(1),A(0),1,1,0
110,b(1),B,1,1,0
111,b(0),B,1,0,0
112,b(1),B,1,1,0
113,a(1),B,1,1,0
114,b(0),A(0),1,0,0
115,b(1),B,1,1,0
116,b(0),B,1,0,0
117,b(0),B,1,0,0
118,b(1),A(0),1,1,0
119,b(0),B,1,0,0
120,a(0),A(0),0,0,0
121,a(0),B,0,0,0
122,b(0),A(0),0,0,0
123,a(0),A(0),0,0,0
124,a(1),B,1,0,0
125,b(0),A(0),1,0,0
126,b(1),B,1,1,0
127,b(0),B,1,0,0
128,b(0),B,1,0,0
129,b(1),A(0),1,1,0
130,a(0),B,0,1,0
131,b(0),A(0),0,0,0
132,a(0),A(0),0,0,0
133,a(0),B,0,0,0
134,b(0),A(0),0,0,0
135,a(0),A(0),0,0,0
136,a(1),B,1,0,0
137,b(0),A(0),1,0,0
138,b(1),B,1,1,0
139,b(0),B,1,0,0
140,b(0),B,1,0,0
141,b(1),A(0),1,1,0
142,b(0),B,1,0,0
143,b(0),B,1,0,0
144,a(0),B,0,0,0
145,a(1),B,1,0,0
146,b(0),B,1,0,0
147,b(1),B,1,1,0
148,b(0),B,1,0,0
149,b(0),B,1,0,0
150,b(1),A(0),1,1,0
