Step;Input;Output;r0;r1;r2;r3
1;coin(100);Omega;coffee;100;0;0
2;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
3;vend;omega;coffee;100;0;100
4;coin(50);Display(50);coffee;50;50;100
5;coin(100);Reject(100);coffee;100;50;100
6;coin(100);Reject(100);coffee;100;50;100
7;coin(100);Reject(100);coffee;100;50;100
8;coin(100);Reject(100);coffee;100;50;100
9;coin(100);Reject(100);coffee;100;50;100
10;coin(100);Reject(100);coffee;100;50;100
11;select(coffee);Omega;coffee;100;50;100
12;vend;omega;coffee;100;50;100
13;coin(50);Display(100);coffee;50;100;100
14;coin(100);Reject(100);coffee;100;100;100
15;coin(100);Reject(100);coffee;100;100;100
16;coin(100);Reject(100);coffee;100;100;100
17;coin(100);Reject(100);coffee;100;100;100
18;coin(100);Reject(100);coffee;100;100;100
19;coin(100);Reject(100);coffee;100;100;100
20;select(coffee);Omega;coffee;100;100;100
21;vend;Serv(coffee,0,0);coffee;100;0;0
22;coin(100);Omega;coffee;100;0;0
23;coin(100);Omega;coffee;100;0;0
24;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
25;coin(100);Display(100);coffee;100;100;100
26;coin(100);Reject(100);coffee;100;100;100
27;vend;Serv(coffee,0,0);coffee;100;0;0
28;vend;Omega;coffee;100;0;0
29;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
30;coin(100);Display(100);coffee;100;100;100
31;coin(100);Reject(100);coffee;100;100;100
32;vend;Serv(coffee,0,0);coffee;100;0;0
33;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
34;select(coffee);Omega;coffee;100;0;100
35;vend;omega;coffee;100;0;100
36;coin(50);Display(50);coffee;50;50;100
37;coin(50);Display(100);coffee;50;100;100
38;coin(100);Reject(100);coffee;100;100;100
39;vend;Serv(coffee,0,0);coffee;100;0;0
40;select(tea);Beverage(tea,0,100);tea;100;0;100
41;coin(50);Display(50);tea;50;50;100
42;vend;omega;tea;50;50;100
43;coin(50);Display(100);tea;50;100;100
44;vend;Serv(tea,0,0);tea;50;0;0
45;select(coffee);Beverage(coffee,0,100);coffee;50;0;100
46;coin(200);Reject(200);coffee;200;0;100
47;coin(100);Display(100);coffee;100;100;100
48;coin(200);Reject(200);coffee;200;100;100
49;coin(10);Reject(10);coffee;10;100;100
