tid,r0,r1,r2,r3,i0,target
56,coffee,100,50,100,50,Display
60,coffee,50,50,100,50,Display
62,tea,50,50,100,50,Display
67,tea,10,10,100,10,Display
69,tea,100,20,100,50,Display
73,tea,100,70,100,10,Display
74,tea,10,80,100,10,Display
77,tea,200,90,100,10,Display
78,coffee,50,50,100,10,Display
89,coffee,100,60,100,10,Display
90,coffee,10,70,100,10,Display
97,coffee,50,80,100,10,Display
104,coffee,200,90,100,10,Display
108,coffee,10,60,100,10,Display
114,coffee,100,70,100,10,Display
120,coffee,200,80,100,10,Display
121,coffee,10,90,100,10,Display
123,coffee,200,10,100,50,Display
133,coffee,10,80,100,10,Display
148,coffee,50,60,100,10,Display
149,coffee,50,70,100,10,Display
154,coffee,50,90,100,10,Display
158,tea,100,10,100,10,Display
161,tea,200,20,100,50,Display
162,tea,50,70,100,10,Display
171,tea,100,90,100,10,Display
174,coffee,10,10,100,50,Display
177,coffee,200,70,100,10,Display
180,coffee,100,90,100,10,Display
181,coffee,10,10,100,10,Display
184,coffee,100,20,100,50,Display
186,coffee,100,80,100,10,Display
188,tea,10,10,100,50,Display
193,tea,200,60,100,10,Display
203,tea,100,80,100,10,Display
209,tea,50,90,100,10,Display
210,tea,10,20,100,10,Display
211,tea,10,30,100,10,Display
212,tea,10,40,100,50,Display
217,coffee,100,20,100,10,Display
220,coffee,200,30,100,50,Display
224,tea,200,10,100,50,Display
225,tea,50,60,100,10,Display
226,tea,10,70,100,10,Display
228,tea,200,80,100,10,Display
229,tea,10,90,100,10,Display
238,tea,100,50,100,10,Display
243,tea,100,60,100,10,Display
258,tea,200,70,100,10,Display
260,tea,50,80,100,10,Display
264,tea,100,10,100,50,Display
52,coffee,50,50,100,100,Reject
53,coffee,100,50,100,100,Reject
57,coffee,50,100,100,100,Reject
58,coffee,100,100,100,100,Reject
63,coffee,100,100,100,200,Reject
64,coffee,200,100,100,10,Reject
65,coffee,10,100,100,100,Reject
66,coffee,100,100,100,10,Reject
68,tea,10,20,100,100,Reject
71,tea,50,70,100,50,Reject
72,tea,50,70,100,100,Reject
76,tea,10,90,100,200,Reject
79,coffee,10,60,100,100,Reject
80,coffee,100,60,100,50,Reject
81,coffee,50,60,100,50,Reject
82,coffee,50,60,100,200,Reject
83,coffee,200,60,100,50,Reject
86,coffee,200,60,100,200,Reject
87,coffee,200,60,100,100,Reject
88,coffee,50,60,100,100,Reject
91,coffee,10,80,100,200,Reject
93,coffee,200,80,100,200,Reject
94,coffee,200,80,100,50,Reject
95,coffee,50,80,100,50,Reject
99,coffee,10,90,100,100,Reject
100,coffee,100,90,100,50,Reject
101,coffee,50,90,100,50,Reject
102,coffee,50,90,100,200,Reject
105,coffee,10,100,100,200,Reject
106,coffee,200,100,100,100,Reject
110,coffee,10,70,100,50,Reject
112,coffee,50,70,100,50,Reject
113,coffee,50,70,100,100,Reject
115,coffee,10,80,100,50,Reject
116,coffee,50,80,100,100,Reject
117,coffee,100,80,100,100,Reject
119,coffee,100,80,100,200,Reject
122,coffee,10,10,100,200,Reject
124,coffee,100,60,100,100,Reject
126,coffee,10,70,100,200,Reject
127,coffee,200,70,100,200,Reject
128,coffee,200,70,100,50,Reject
129,coffee,100,70,100,50,Reject
130,coffee,50,70,100,200,Reject
131,coffee,200,70,100,100,Reject
132,coffee,100,70,100,100,Reject
134,coffee,10,100,100,50,Reject
135,coffee,50,100,100,200,Reject
136,tea,100,100,100,100,Reject
137,tea,100,100,100,200,Reject
138,tea,200,100,100,10,Reject
139,tea,10,100,100,10,Reject
140,tea,10,100,100,50,Reject
141,tea,50,100,100,100,Reject
142,tea,100,100,100,50,Reject
143,tea,50,100,100,200,Reject
