mu_size,lambda_size,generation_size,mutation_prob,max_init_depth,max_depth,fitness_type,levenshtein_distance,total_wrong
50,5,50,0.25,1,5,step,2,2
50,5,50,0.25,1,5,continuous,2,2
50,5,50,0.25,3,10,step,2,2
50,5,50,0.25,3,10,continuous,2,2
50,5,50,0.25,7,15,step,2,3
50,5,50,0.25,7,15,continuous,2,3
50,5,50,0.5,1,5,step,2,2
50,5,50,0.5,1,5,continuous,2,2
50,5,50,0.5,3,10,step,2,2
50,5,50,0.5,3,10,continuous,2,2
50,5,50,0.5,7,15,step,2,2
50,5,50,0.5,7,15,continuous,2,2
50,5,50,0.75,1,5,step,2,2
50,5,50,0.75,1,5,continuous,2,2
50,5,50,0.75,3,10,step,2,2
50,5,50,0.75,3,10,continuous,2,2
50,5,50,0.75,7,15,step,2,3
50,5,50,0.75,7,15,continuous,2,3
50,5,100,0.25,1,5,step,2,2
50,5,100,0.25,1,5,continuous,2,2
50,5,100,0.25,3,10,step,2,2
50,5,100,0.25,3,10,continuous,2,2
50,5,100,0.25,7,15,step,2,2
50,5,100,0.25,7,15,continuous,2,2
50,5,100,0.5,1,5,step,2,2
50,5,100,0.5,1,5,continuous,2,2
50,5,100,0.5,3,10,step,2,2
50,5,100,0.5,3,10,continuous,2,2
50,5,100,0.5,7,15,step,2,2
50,5,100,0.5,7,15,continuous,2,2
50,5,100,0.75,1,5,step,2,2
50,5,100,0.75,1,5,continuous,2,2
50,5,100,0.75,3,10,step,2,2
50,5,100,0.75,3,10,continuous,2,2
50,5,100,0.75,7,15,step,2,3
50,5,100,0.75,7,15,continuous,2,3
50,5,150,0.25,1,5,step,2,2
50,5,150,0.25,1,5,continuous,2,2
50,5,150,0.25,3,10,step,2,2
50,5,150,0.25,3,10,continuous,2,2
50,5,150,0.25,7,15,step,2,2
50,5,150,0.25,7,15,continuous,2,2
50,5,150,0.5,1,5,step,2,2
50,5,150,0.5,1,5,continuous,2,2
50,5,150,0.5,3,10,step,2,2
50,5,150,0.5,3,10,continuous,2,2
50,5,150,0.5,7,15,step,2,2
50,5,150,0.5,7,15,continuous,2,2
50,5,150,0.75,1,5,step,2,2
50,5,150,0.75,1,5,continuous,2,2
50,5,150,0.75,3,10,step,2,2
50,5,150,0.75,3,10,continuous,2,2
50,5,150,0.75,7,15,step,2,3
50,5,150,0.75,7,15,continuous,2,3
50,10,50,0.25,1,5,step,2,2
50,10,50,0.25,1,5,continuous,2,2
