,complexity,trueFunction,seed,tableLength,numGenerations,inferredFunc,numInputParameters
0,1,"sub(r0,i0)",0,20,100,"add(r0, mul(-1, i0))",1
1,1,"sub(r0,i0)",0,20,200,"add(r0, mul(-1, i0))",1
2,1,"sub(r0,i0)",0,20,300,"add(r0, mul(-1, i0))",1
3,1,"sub(r0,i0)",0,40,100,"add(r0, mul(-1, i0))",1
4,1,"sub(r0,i0)",0,40,200,"add(r0, mul(-1, i0))",1
5,1,"sub(r0,i0)",0,40,300,"add(r0, mul(-1, i0))",1
6,1,"sub(r0,i0)",0,60,100,"add(r0, mul(-1, i0))",1
7,1,"sub(r0,i0)",0,60,200,"add(r0, mul(-1, i0))",1
8,1,"sub(r0,i0)",0,60,300,"add(r0, mul(-1, i0))",1
9,1,"sub(r0,i0)",1,20,100,"add(r0, mul(-1, i0))",1
10,1,"sub(r0,i0)",1,20,200,"add(r0, mul(-1, i0))",1
11,1,"sub(r0,i0)",1,20,300,"add(r0, mul(-1, i0))",1
12,1,"sub(r0,i0)",1,40,100,"add(r0, mul(-1, i0))",1
13,1,"sub(r0,i0)",1,40,200,"add(r0, mul(-1, i0))",1
14,1,"sub(r0,i0)",1,40,300,"add(r0, mul(-1, i0))",1
15,1,"sub(r0,i0)",1,60,100,"add(r0, mul(-1, i0))",1
16,1,"sub(r0,i0)",1,60,200,"add(r0, mul(-1, i0))",1
17,1,"sub(r0,i0)",1,60,300,"add(r0, mul(-1, i0))",1
18,1,"sub(r0,i0)",2,20,100,"add(r0, mul(-1, i0))",1
19,1,"sub(r0,i0)",2,20,200,"add(r0, mul(-1, i0))",1
20,1,"sub(r0,i0)",2,20,300,"add(r0, mul(-1, i0))",1
21,1,"sub(r0,i0)",2,40,100,"add(r0, mul(-1, i0))",1
22,1,"sub(r0,i0)",2,40,200,"add(r0, mul(-1, i0))",1
23,1,"sub(r0,i0)",2,40,300,"add(r0, mul(-1, i0))",1
24,1,"sub(r0,i0)",2,60,100,"add(r0, mul(-1, i0))",1
25,1,"sub(r0,i0)",2,60,200,"add(r0, mul(-1, i0))",1
26,1,"sub(r0,i0)",2,60,300,"add(r0, mul(-1, i0))",1
27,1,"sub(r0,i0)",3,20,100,"add(r0, mul(-1, i0))",1
28,1,"sub(r0,i0)",3,20,200,"add(r0, mul(-1, i0))",1
29,1,"sub(r0,i0)",3,20,300,"add(r0, mul(-1, i0))",1
30,1,"sub(r0,i0)",3,40,100,"add(r0, mul(-1, i0))",1
31,1,"sub(r0,i0)",3,40,200,"add(r0, mul(-1, i0))",1
32,1,"sub(r0,i0)",3,40,300,"add(r0, mul(-1, i0))",1
33,1,"sub(r0,i0)",3,60,100,"add(r0, mul(-1, i0))",1
34,1,"sub(r0,i0)",3,60,200,"add(r0, mul(-1, i0))",1
35,1,"sub(r0,i0)",3,60,300,"add(r0, mul(-1, i0))",1
36,1,"sub(r0,i0)",4,20,100,"add(r0, mul(-1, i0))",1
37,1,"sub(r0,i0)",4,20,200,"add(r0, mul(-1, i0))",1
38,1,"sub(r0,i0)",4,20,300,"add(r0, mul(-1, i0))",1
39,1,"sub(r0,i0)",4,40,100,"add(r0, mul(-1, i0))",1
40,1,"sub(r0,i0)",4,40,200,"add(r0, mul(-1, i0))",1
41,1,"sub(r0,i0)",4,40,300,"add(r0, mul(-1, i0))",1
42,1,"sub(r0,i0)",4,60,100,"add(r0, mul(-1, i0))",1
43,1,"sub(r0,i0)",4,60,200,"add(r0, mul(-1, i0))",1
44,1,"sub(r0,i0)",4,60,300,"add(r0, mul(-1, i0))",1
45,1,"sub(i0,r0)",0,20,100,"add(i0, mul(-1, r0))",1
46,1,"sub(i0,r0)",0,20,200,"add(i0, mul(-1, r0))",1
47,1,"sub(i0,r0)",0,20,300,"add(i0, mul(-1, r0))",1
48,1,"sub(i0,r0)",0,40,100,"add(i0, mul(-1, r0))",1
49,1,"sub(i0,r0)",0,40,200,"add(i0, mul(-1, r0))",1
50,1,"sub(i0,r0)",0,40,300,"add(i0, mul(-1, r0))",1
51,1,"sub(i0,r0)",0,60,100,"add(i0, mul(-1, r0))",1
52,1,"sub(i0,r0)",0,60,200,"add(i0, mul(-1, r0))",1
53,1,"sub(i0,r0)",0,60,300,"add(i0, mul(-1, r0))",1
54,1,"sub(i0,r0)",1,20,100,"add(i0, mul(-1, r0))",1
55,1,"sub(i0,r0)",1,20,200,"add(i0, mul(-1, r0))",1
56,1,"sub(i0,r0)",1,20,300,"add(i0, mul(-1, r0))",1
57,1,"sub(i0,r0)",1,40,100,"add(i0, mul(-1, r0))",1
